ID,SMILES,Dockingscore
ZINC000095970546,O=C([O-])C(CNC(=O)CCC1OCCCC1)Cc1ccccc1,-7.2410121
ZINC000263530479,O=C([O-])C(Cc1ccc(NC(=O)c2onc(C3CC3)c2)cc1)C,-7.2388749
ZINC000015734573,S(=O)(=O)(N1CCCC1)c1ncn(CC(=O)Nc2c(C)cccc2)c1,-7.2388349
ZINC000095970548,O=C([O-])C(CNC(=O)CCC1OCCCC1)Cc1ccccc1,-7.2376719
ZINC000170581147,O=C([O-])C(NC(=O)C1CN(CCOC)C(=O)C1)Cc1ccccc1,-7.236177
ZINC000299789157,O=C([O-])C(C(=O)N1CC(Oc2ccc(C)cc2)C1)C1CCCCC1,-7.2351408
ZINC000067954557,S(CC(=O)[O-])c1n(c(-c2n[nH]c(C3CC3)c2)nn1)-c1ccccc1,-7.2328668
ZINC000655597651,O=C([O-])C(NC(=O)Cc1cc2c(OCCC2)cc1)Cc1ccncc1,-7.2318964
ZINC000001707444,O=C(OCc1ccccc1)NCC(=O)NC(C(=O)[O-])Cc1[nH]cnc1,-7.2306094
ZINC000630313348,O=C(NC1C(C(=O)[O-])CCC1)CCC1=NC(=O)c2c(N1)cccc2,-7.2299137
ZINC000006702553,S(=O)([O-])(=Nc1c(C(=O)Nc2ccc(OC(C)C)cc2)cccc1)C,-7.2279716
ZINC000065362506,Fc1cc2n(CC(=O)NC(C(=O)[O-])Cc3ccccc3)ccc2cc1,-7.227016
ZINC000217651747,S(=O)(=O)(NCCC(C)C)c1cc(C(=O)[O-])c(NCCCC)cc1,-7.2253485
ZINC000000518657,O=[N+]([O-])c1ccc(CC(=O)NC(C(=O)[O-])C(O)c2ccccc2)cc1,-7.2212734
ZINC000190945532,O=C([O-])Cn1nc(NC(=O)c2cn(CCC)nc2)cc1,-7.219883
ZINC000095370083,O=C([O-])C([NH+](CC(C)C)C)c1cc(C(=O)N2CCC(C)CC2)ccc1,-7.2172136
ZINC000256047355,O=C([O-])c1c(N(Cc2ccccc2)C)nn(-c2ccc(CC)cc2)n1,-7.2167807
ZINC000659186049,O=C([O-])C(CCC)n1nc(NC(=O)c2noc3c2CCCC3)cc1,-7.2142601
ZINC000219934104,Fc1ccc(C(=O)CCC(=O)NC(C(=O)[O-])c2cc(C)ccc2)cc1,-7.2106061
