ZincID,Smiles,S
ZINC000952878947,O=C([O-])C(NC(=O)CCC1(CCC#C)N=N1)CC1CCOCC1,-7.550
ZINC000123778614,O=C([O-])C(CNC(=O)C1CC(=O)N(C)CC1)Cc1cc(C)ccc1,-7.549
ZINC000067868947,O=C(CCC1CCCC1)N1Cc2c(C(=O)[O-])nn(CC3CC3)c2CC1,-7.548
ZINC000097654195,O=C([O-])Cn1c(CCc2[nH]c3c(n2)cccc3)nc(C2CCCC2)n1,-7.548
ZINC000039957040,O=C(OCc1ccccc1)NC(C(=O)[O-])Cc1ccc(C(=O)N)cc1,-7.548
ZINC000055341341,O=C([O-])C=1C(=O)C(Oc2ccccc2)=CN(Cc2c(C)n(C)nc2)C=1,-7.546
ZINC000299787972,O=C([O-])CC1C(c2nnn(C)c2)CN(c2[nH+]c(C)cc(NC)n2)C1,-7.545
ZINC000009340343,O=[N+]([O-])c1cc2c(N(CCCCC(=O)CC)C(=O)C(C(=O)[O-])C2)cc1,-7.542
ZINC000085397421,O=C([O-])Cc1c(-c2c(C)cc(OCC)cc2)nc(NC(=O)CC)s1,-7.541
ZINC000004535879,O=C(OCc1ccccc1)NC(C(=O)NC(C(=O)[O-])CC(C)C)C,-7.540
ZINC000237686505,O=C([O-])CCN(C(=O)CCc1c(C)n(C)nc1C)CC1OCCC1,-7.539
ZINC000237052551,Fc1cc2[nH]cc(CC(NC(=O)C3CN(C)C(=O)C3)C(=O)[O-])c2cc1,-7.536
ZINC000097117009,O=C(N1CC(C(=O)[O-])CN(Cc2sc(C)cc2)CC1)c1cocc1,-7.535
ZINC000299761314,O=C([O-])CC1C(c2nnn(C)c2)CN(C(=O)c2n(C)nc(C)c2)C1,-7.535
ZINC000225467412,O=C([O-])C(NC(=O)Cc1c(C)n(CC(C)C)nc1C)c1ccccc1,-7.531
ZINC000004581135,O=C([O-])CC(NC(=O)c1sccc1)c1ccc(OC(C)C)cc1,-7.530
ZINC000031672487,O=C(OCc1ccccc1)NCC(=O)NC(C(=O)[O-])Cc1[nH]cnc1,-7.527
ZINC000514288879,O=C([O-])CC1C(Cc2[nH]c3c(n2)cc(OC)cc3)C[NH+](C(C)C)CC1,-7.526
ZINC000012997554,P(=O)([O-])([O-])C([NH2+]Cc1ccc(C)cc1)c1cc2OCCOc2cc1,-7.523
ZINC000299792824,O=C([O-])CC1C(c2nnn(C)c2)CN(c2nc(N(C)C)c(C)cn2)C1,-7.523
ZINC000526076118,O=C([O-])c1c(C)cc(C)c(NC(=O)C2CN(CC(C)C)C(=O)C2)c1,-7.522
ZINC000091877292,O=C(C)N1C(C(=O)[O-])CC2(C1)CCN(Cc1oc(C3CC3)nn1)CC2,-7.520
ZINC000072159131,O=C(CCOC)N1CC(C(=O)[O-])CC(C(=O)NCc2ncccc2)C1,-7.519
ZINC000017148727,O=C([O-])Cn1c(N(C)C2CCCCC2)nc2N(C)C(=O)N(C)C(=O)c12,-7.519
