Dockingscore,SMILES
-7.23,S(=O)(=O)(NCCC(C)C)c1cc(C(=O)[O-])c(NCCCC)cc1
-7.22,O=[N+]([O-])c1ccc(CC(=O)NC(C(=O)[O-])C(O)c2ccccc2)cc1
-7.22,O=C([O-])Cn1nc(NC(=O)c2cn(CCC)nc2)cc1
-7.22,O=C([O-])C([NH+](CC(C)C)C)c1cc(C(=O)N2CCC(C)CC2)ccc1
-7.22,O=C([O-])c1c(N(Cc2ccccc2)C)nn(-c2ccc(CC)cc2)n1
-7.21,O=C([O-])C(CCC)n1nc(NC(=O)c2noc3c2CCCC3)cc1
-7.21,Fc1ccc(C(=O)CCC(=O)NC(C(=O)[O-])c2cc(C)ccc2)cc1
-7.21,O=C([O-])Cc1cc(NC(=O)c2nn(C3CCCC3)cc2)ccc1
-7.21,O=C(NC1C(=O)N2C(C(=O)[O-])=C(C)CSC12)C(N)C1=CCC=CC1
-7.20,O=C(NCCC(C)C)C(=O)Nc1c(C(=O)[O-])c2c(s1)CCCC2
-7.20,O=C(N1CC(C(=O)[O-])(c2ccccc2)CC1)c1noc(CCC)c1
-7.20,S(=O)([O-])(=Nc1c(C(=O)Nc2sc(CC)nn2)cccc1)C
-7.20,S(=O)([O-])(=Nc1c(C(=O)OCc2c(OC)cccc2)cccc1)C
-7.20,O=C([O-])C(CCC)n1nc(NC(=O)c2c3c(scc3)cnc2)cc1
-7.20,O=C([O-])C(N(C(=O)c1cc2C(=O)N(C)C(=O)c2cc1)C1CC1)C
-7.19,O=C([O-])Cn1nc(NC(=O)CCN2C(=O)COc3c2cccc3)cc1
-7.19,O=C([O-])C(NC(=O)C(N)Cc1[nH]cnc1)Cc1ccc(O)cc1
-7.19,O=C([O-])Cn1nc(NC(=O)C2C(c3cc4OCCOc4cc3)C2)cc1
-7.19,O=C(N1C(C(=O)[O-])CC2C1CCCC2)c1cc(-n2nnnc2)ccc1
-7.19,O=C([O-])C(N(C(=O)c1cc2C(=O)N(C)C(=O)c2cc1)C1CC1)C
-7.18,O=C(Nc1scc(CC(=O)[O-])n1)C(Oc1ccc(C#N)cc1)C
-7.18,O=C([O-])COc1cc(C(=O)N2C(c3oc(C)cc3)CCC2)ccc1
-7.18,Fc1c(CNC(=O)C[NH+]2CC(C(=O)[O-])(CC3CC3)CCC2)cccc1
-7.18,O=C([O-])CC=CCC1C(C=CC(O)CCCCC)OC(=O)CC1O
-7.17,O=[N+]([O-])c1ccc(COC(=O)NC(C(=O)[O-])Cc2ccccc2)cc1
-7.17,Clc1ccc(C(NC(=O)CCC[NH+]2CCCCC2)C(=O)[O-])cc1
-7.17,O=C(N1C(C)CCC(C(=O)[O-])C1)c1cc2OCCOc2cc1
-7.17,O=C([O-])Cn1nc(NC(=O)c2sc(C3OCCC3)nc2)cc1
-7.17,O=C(NCCCc1nnn[n-]1)c1ccc(-c2nc(C3CC3)on2)cc1
-7.17,O=C([O-])C(NC(=O)CCc1ncccc1)Cc1c2c([nH]c1)cccc2
-7.17,O=C([O-])C(CC(=O)NCc1ccccc1)CN1CC[NH+](C)CCC1
-7.17,O=C([O-])CC1C(c2nnn(C)c2)CN(CC(=O)NCc2occc2)C1
-7.17,O=C(NCCCc1nnn[n-]1)CNC(=O)c1ccc(C(C)(C)C)cc1
-7.17,O=C([O-])Cc1c(O)nc(N=NCc2ccc(OCCC)cc2)s1
-7.17,O=C(Nc1c(C)n(C2CCCC2)nc1)CCCN1C(=O)N(C)CC1=O
-7.16,O=C([O-])CCC1CN(C(=O)c2ccc(CCC)cc2)CCC1
-7.16,O=C([O-])CC1OCCN(C(=O)c2ccc(OCC3OCCC3)cc2)C1
-7.16,O=C([O-])C(N=CCC(=O)c1ccccc1)Cc1c2c([nH]c1)cccc2
-7.16,O=C([O-])CC(NC(=O)C1=NN(CCC)C(=O)C=C1)c1ccc(C)cc1
-7.16,S(=O)([O-])(=Nc1c(C(=O)Nc2cc3OCCOc3cc2)cccc1)C
-7.16,S(=O)([O-])(=NNC(=O)C(=O)NNc1ccccc1)c1ccc(C)cc1
-7.15,O=C([O-])C(NC(=O)CCc1onc(OC)c1)Cc1ccccc1
-7.15,O=C([O-])c1c(O)ccc(NC(=O)c2ccc(NC(=O)C3CC3)cc2)c1
-7.15,O=C([O-])Cn1nc(NC(=O)c2sc(C3OCCC3)nc2)cc1
-7.15,O=C([O-])Cc1cc(NC(=O)c2sc(C(C)C)nc2)ccc1
-7.15,O=C([O-])Cn1nc(NC(=O)CC2C(=O)Nc3c(S2)cccc3)cc1
-7.14,O=C([O-])C(NC(=O)CCc1c(C)n(C)nc1C)Cc1ccccc1
-7.14,O=C(CCN1C(=O)c2c(N=N1)cccc2)N1CC(C(=O)[O-])OCC1
-7.14,O=C([O-])C(CNC(=O)CN1C(=O)CSC1)Cc1cc(C)ccc1
-7.14,S(C)C1N(CC)C(=O)C(=CC(=O)[O-])C1C(=O)c1ccc(CC)cc1
-7.14,O=C([O-])c1c(N(Cc2ccccc2)C)nn(-c2cc(OC)ccc2)n1
-7.14,O=C([O-])C(NC(=O)C=Cc1ccc(CC)cc1)Cc1ccccc1
-7.14,O=C(C(C)n1nc(-c2ccccc2)nn1)N1CC(C(=O)[O-])CCC1
-7.14,O=C([O-])c1c(C(NC(=O)c2ncccc2)C)onc1-c1cnccc1
-7.14,S(=O)(=O)(NC(C(=O)[O-])Cc1ccccc1)CCOCCCC
-7.13,Fc1c(c(F)ccc1)C1C(C(=O)Nc2nn(CC(=O)[O-])cc2)C1
-7.13,S(Cc1ccc(C)cc1)C=1N(N)C(=O)C(CCC(=O)[O-])=NN=1
-7.13,O=C([O-])Cn1nc(NC(=O)C=2C(=O)NC3=C(C=2)CCCC3)cc1
-7.13,O=C([O-])CC1N(C(=O)CCc2onc(-c3ccncc3)n2)CCOC1
-7.13,O=C([O-])C(Cc1ccccc1)N1C(=O)C(Cc2ccccc2)NC1=O
-7.13,O=C(NCCCN1C(=O)CC(C(=O)[O-])C1)C(=O)Nc1ccc(C)cc1
-7.13,O=C([O-])c1c(-c2cncnc2)ncc2c1CC[NH+](CC1COCC1)C2
-7.13,O=C(Nc1cc(C(=O)NC2CC2)ccc1)c1nn2C(C)=CC=Nc2n1
-7.13,O=C([O-])C(NC(=O)CN1C(=O)c2c(N=C1)cccc2)c1ccccc1
-7.13,O=C([O-])C(CNC(=O)CCC1OCCC1)Cc1ccc(C)cc1
-7.13,O=C([O-])CN1C(=O)C(NC(=O)c2ccc(N)cc2)CCCC1
-7.13,Clc1c(CC(NC(=O)OCc2ccccc2)C(=O)[O-])cccc1
-7.12,O=C([O-])C1C(C(=O)NCCc2c(OC)cccc2)C2CCC1CC2
-7.12,O=C([O-])C(NC(=O)C)Cc1c(C)cc(OCc2ccccc2)cc1C
-7.12,O=C(Cc1nnn[n-]1)N1CC(O)CN(Cc2onc(C3CC3)n2)CC1
-7.12,O=C(OC(C)(C)C)NC1C[NH+](C(C(=O)[O-])c2ccccc2)CC1
-7.12,S(CCC(NC(=O)C=1C(=O)Oc2c(cccc2)C=1)c1nnn[n-]1)C
-7.12,S(C(C(=O)[O-])=Cc1cc(OC)c(OC)cc1)c1[nH]c(CCC)nn1
-7.12,O=C([O-])C1C(C(=O)NCCc2c(OC)cccc2)C2CCC1CC2
-7.12,S(=O)([O-])(=Nc1c(C(=O)OCc2ccc(C(=O)N)cc2)cccc1)C
-7.12,O=C([O-])Cn1nc(NC(=O)C2CN(C(=O)C2)C2CCCC2)cc1
-7.12,O=C([O-])CCC1CN(C(=O)c2sc(C(C)(C)C)nc2)CCC1
-7.12,O=C(OCc1ccccc1)NC(C(=O)[O-])CCNC(=O)OCC=C
-7.12,O=C(N1C(C(=O)[O-])c2c(cccc2)CC1)c1c(OC)cc(OC)cc1
-7.12,O=C([O-])C(NC(=O)CCCCCCCCC)C(O)c1ccccc1
-7.12,O=C([O-])Cc1nc(NC(=O)c2cn(CC)nc2)sc1
-7.11,O=C([O-])Cn1nc(NC(=O)c2cc(C)c(N3CCOCC3)cc2)nc1
-7.11,Fc1c(-c2onc(NC(=O)NC3CC(C(=O)[O-])CC3)c2)cccc1
-7.11,O=C(NCC1OCCC1)c1cc(NC(=O)c2ccc(C)cc2)ccc1
-7.11,O=C([O-])C(CN(C(=O)c1cc(-c2nc(C)sc2)oc1)C1CC1)C
-7.11,O=[N+]([O-])c1c(N=NC(C(C(CC(=O)[O-])C)C)C)ccc([N+](=O)[O-])c1
-7.11,O=C([O-])C(NC(=O)C1C[NH+](Cc2ccccc2)CCC1)C(C)C
-7.11,O=C([O-])C(CNC(=O)CC1C=CCC1)Cc1cc(C)ccc1
-7.11,O=C(N(CC(C)c1nnn[n-]1)C)c1sc2c(c1)CCCCC2
-7.11,O=C([O-])Cc1nc(NC(=O)Cc2c(OC)ccc(C)c2)sc1
-7.10,O=C([O-])C(NC(=O)C=Cc1cc(OC)c(OC(C)C)cc1)C(C)C
-7.10,O=C(CNC(=O)c1cc(OC)ccc1)N1C(C(=O)[O-])COCC1
-7.10,Fc1c(C2C(C(=O)Nc3nn(CC(=O)[O-])cc3)C2)ccc(F)c1
-7.10,O=C([O-])C(NC(=O)C[NH+]1CCCCCC1)Cc1c2c([nH]c1)cccc2
-7.10,O=C([O-])Cn1nc(NC(=O)C2Cn3c(C)[nH+]cc3CC2)cc1
-7.10,Fc1ccc(C(=O)CCC(=O)NC(C(=O)[O-])c2cc(C)ccc2)cc1
-7.10,O=C([O-])Cc1cc(NC(=O)c2c(n(C)nc2)-n2cccc2)ccc1
-7.10,O=C([O-])C(NC(=O)C)Cc1cc(C)c(OCc2ccccc2)cc1
-7.10,O=C([O-])C([NH+]1CCN(CC(=O)NC(C)C)CC1)c1c(C)cc(C)cc1
-7.10,S(=O)([O-])(=Nc1c(C(=O)Nc2ccc(OC)cc2)cccc1)C
-7.10,O=C([O-])CC1N(C(=O)CCc2onc(C3CCCC3)n2)CCC1
-7.10,O=C([O-])Cc1cc(NC(=O)c2cn(CC3CC3)nc2)ccc1
-7.09,O=C([O-])C(NC(=O)Cc1n[nH]c2c1cccc2)Cc1ccccc1
-7.09,S([O-])([O-])(=NC(=O)Cc1c2c([nH]c1)cccc2)=CC1OCCCC1
-7.09,O=C([O-])C1C(C(=O)NCCCCCCCC)CCCC1
-7.09,O=C([O-])C(NC(=O)Cc1cc(C)cc(C)c1)Cc1ccncc1
-7.09,O=C(CCc1cn(C)nc1)N1CC2(C(=O)[O-])C(C(=O)N(CCC)C2)C1
-7.09,O=C([O-])CC1OCCN(C(=O)c2ccc(OCC3OCCC3)cc2)C1
-7.09,O=C([O-])C(NC(=O)Cc1[nH+]c2n(c1)CCCC2)Cc1ccncc1
-7.09,O=C([O-])CCC1CN(C(=O)Cn2nnc3c2cccc3)CCC1
-7.09,O=C(N1CC(C(=O)N2CC(C(=O)[O-])OCC2)CCC1)c1ccccc1
-7.09,O=C(OCc1ccccc1)NC(C(=O)[O-])CCC(=O)OC(C)(C)C
-7.09,O=C([O-])Cn1nc(NC(=O)c2c3n(nc2)CCCC3)cc1
-7.09,O=C([O-])CC1OCCN(C(=O)c2c(C)c3C(=O)CCCc3o2)C1
-7.09,O=C([O-])C(NC(=O)Cc1cc(C)cc(C)c1)Cc1ccncc1
-7.09,S(=O)(=O)(N1CCCC1)c1cc(NC(=O)c2ncc(C)nc2)ccc1
-7.09,Clc1c(CCNC(=O)C2C(C(=O)[O-])CC=CC2)ccc(Cl)c1
-7.09,O=C([O-])CCC1N(C(=O)CCN2C(=O)N3C(=N2)C=CC=C3)CCCC1
-7.09,S(CCC(=O)[O-])Cc1nc(C(=O)N2CCCCCC2)on1
-7.09,O=C([O-])C(NC(=O)Cc1noc2c1cccc2)Cc1ccccc1
-7.08,O=C([O-])Cn1nc(NC(=O)C2Cn3c(C)[nH+]cc3CC2)cc1
-7.08,O=C([O-])Cn1nc(NC(=O)C2Cn3c(C)[nH+]cc3CC2)cc1
-7.08,O=C([O-])Cc1cc(NC(=O)c2cn(CCC)nc2)ccc1
-7.08,O=C(NCCC)CCC(=O)Nc1sc(CC(C)C)c(C(=O)[O-])n1
-7.08,Fc1c2c(c(CCC(=O)Nc3nn(CC(=O)[O-])cc3)cc1)CCCC2
-7.08,O=C([O-])C(CNC(=O)C1(c2cc(C)ccc2)CC1)c1ccccc1
-7.08,O=C([O-])C(NC(=O)C1CN(CC2CC2)C(=O)C1)Cc1ccccc1
-7.08,O=C([O-])C(CCC)n1nc(NC(=O)c2cc3c(cc2)COCC3)cc1
-7.08,O=C([O-])C1C(C(=O)NCCCN2C(=O)CCC2)C2CC1CC2
